Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
results			80	11	1	1	1	742.641	99.384	1.000	1.000	6.333	0.001
directly			80	11	1	1	1	742.641	99.384	1.000	1.000	6.333	0.001
lack			80	11	1	1	1	742.641	99.384	1.000	1.000	6.333	0.001
recent			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
facial			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
difficulty			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
growth			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
persistent			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
cognitive			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
suitable			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
aneurysm			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
ITP			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
heart			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
diagnoses			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
individuals			85	6	0	1	0	405.077	0.000	1.000	0.000	6.222	0.001
observed			97	14	2	1	1	945.180	198.768	1.000	1.000	6.082	0.002
this			98	144	69	1	1	9721.847	6857.484	1.000	1.000	5.945	0.019
CD			99	10	1	1	1	675.128	99.384	1.000	1.000	5.478	0.001
hypertension			99	10	1	1	1	675.128	99.384	1.000	1.000	5.478	0.001
L			99	10	1	1	1	675.128	99.384	1.000	1.000	5.478	0.001
used			102	16	3	1	1	1080.205	298.151	1.000	1.000	5.448	0.002
right			102	16	3	1	1	1080.205	298.151	1.000	1.000	5.448	0.002
considered			104	30	9	1	1	2025.385	894.454	1.000	1.000	5.266	0.004
listed			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
consolidation			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
scenario			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
CH			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
gas			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
asthenia			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
mEq			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
ongoing			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
mmHg			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
CS			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
relief			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
venous			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
middle			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
basal			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
involving			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
improve			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
exacerbate			105	5	0	1	0	337.564	0.000	1.000	0.000	5.185	0.001
infection			122	38	13	1	1	2565.487	1291.990	1.000	1.000	5.038	0.005
a			123	385	217	1	1	25992.439	21566.289	1.000	1.000	5.035	0.050
similar			124	15	3	1	1	1012.692	298.151	1.000	1.000	4.765	0.002
making			125	9	1	1	1	607.615	99.384	1.000	1.000	4.641	0.001
sudden			125	9	1	1	1	607.615	99.384	1.000	1.000	4.641	0.001
involves			125	9	1	1	1	607.615	99.384	1.000	1.000	4.641	0.001
current			128	12	2	1	1	810.154	198.768	1.000	1.000	4.580	0.002
This			129	48	19	1	1	3240.616	1888.293	1.000	1.000	4.263	0.006
managing			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
nasal			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
lymphocyte			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
makes			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
serology			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
vasculitis			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
threatening			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
thickened			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
studies			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
strong			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
neoplasia			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
plausible			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
mm			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
prominent			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
progression			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
saturation			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
recurrence			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
post			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
side			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
sexual			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
kidney			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
localized			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
AD			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
alveolar			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
Magnetic			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
Intravenous			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
aligns			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
OA			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
arteries			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
Additionally			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
compression			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
neuron			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
immunosuppressive			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
immune			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
GFR			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
comorbidities			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
definitively			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
describes			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
disorders			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
disseminated			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
effects			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
evaluate			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
evidence			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
excess			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
experiencing			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
hip			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
critical			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
compressive			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
deficit			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
culture			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
osmolality			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
obesity			130	4	0	1	0	270.051	0.000	1.000	0.000	4.148	0.001
cervical			182	14	3	1	1	945.180	298.151	1.000	1.000	4.104	0.002
rather			183	11	2	1	1	742.641	198.768	1.000	1.000	3.864	0.001
provide			183	11	2	1	1	742.641	198.768	1.000	1.000	3.864	0.001
joint			183	11	2	1	1	742.641	198.768	1.000	1.000	3.864	0.001
probable			183	11	2	1	1	742.641	198.768	1.000	1.000	3.864	0.001
trauma			183	11	2	1	1	742.641	198.768	1.000	1.000	3.864	0.001
inflammatory			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
combined			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
lymphadenopathy			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
oxygen			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
presenting			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
unilateral			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
functional			188	8	1	1	1	540.103	99.384	1.000	1.000	3.826	0.001
HIV			195	16	4	1	1	1080.205	397.535	1.000	1.000	3.815	0.002
on			196	67	30	1	1	4523.359	2981.515	1.000	1.000	3.788	0.009
loss			197	33	12	1	1	2227.923	1192.606	1.000	1.000	3.749	0.004
onset			198	18	5	1	1	1215.231	496.919	1.000	1.000	3.631	0.002
tumor			199	15	4	1	1	1012.692	397.535	1.000	1.000	3.237	0.002
mass			200	10	2	1	1	675.128	198.768	1.000	1.000	3.176	0.001
pattern			200	10	2	1	1	675.128	198.768	1.000	1.000	3.176	0.001
recurrent			200	10	2	1	1	675.128	198.768	1.000	1.000	3.176	0.001
signs			200	10	2	1	1	675.128	198.768	1.000	1.000	3.176	0.001
while			200	10	2	1	1	675.128	198.768	1.000	1.000	3.176	0.001
DIC			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
chromosomal			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
concentrating			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
curve			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
determining			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Bence			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Anemia			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
delayed			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
dL			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
crescentic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
base			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
location			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
issues			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
intravascular			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
myocardial			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
mouth			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
impairment			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
immunoglobulin			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
hyperdense			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
holosystolic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
labor			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
U			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Resonance			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
excessive			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
PTHrP			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
PJP			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Macular			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
MCV			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
exchange			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
hematuria			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
head			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
guided			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
gradual			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
existing			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
II			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
goitre			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
gout			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
discomfort			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
displacement			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
embolism			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
escitalopram			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
establish			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
events			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
histopathological			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Hemophilia			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
HBV			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Eosinophilic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
VTE			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
contrast			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
female			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
suggesting			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
mild			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
strength			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
stiffness			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
showing			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
setting			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
apparent			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
ruling			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
nucleus			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
organisms			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
overall			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
pallor			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
summary			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
periodic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
pharmacological			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
polydipsia			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
predominantly			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
pregnancies			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
seroconversion			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
atrophy			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Jones			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
LGS			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
Lumbar			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
MCC			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
reveal			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
pancreatic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
risks			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
waves			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
visualization			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
vertebral			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
tremor			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
threshold			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
thelarche			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
UTIs			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
mentions			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
medulla			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
malignant			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
addressing			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
removal			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
sufficient			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
radiographic			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
procedure			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
antigens			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
alternative			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
align			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
aid			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
procedures			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
proximal			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
reactive			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
rabies			205	3	0	1	0	202.538	0.000	1.000	0.000	3.111	0.000
tests			305	17	5	1	1	1147.718	496.919	1.000	1.000	3.096	0.002
despite			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
rash			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
injury			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
count			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
induced			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
future			306	7	1	1	1	472.590	99.384	1.000	1.000	3.040	0.001
cause			312	37	15	1	1	2497.975	1490.757	1.000	1.000	3.038	0.005
pneumonia			313	12	3	1	1	810.154	298.151	1.000	1.000	2.861	0.002
chronic			314	14	4	1	1	945.180	397.535	1.000	1.000	2.688	0.002
year			314	14	4	1	1	945.180	397.535	1.000	1.000	2.688	0.002
therapy			314	14	4	1	1	945.180	397.535	1.000	1.000	2.688	0.002
analysis			317	9	2	1	1	607.615	198.768	1.000	1.000	2.521	0.001
metabolic			317	9	2	1	1	607.615	198.768	1.000	1.000	2.521	0.001
useful			317	9	2	1	1	607.615	198.768	1.000	1.000	2.521	0.001
involve			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
process			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
sensory			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
spinal			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
status			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
stroke			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
IgE			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
function			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
therapeutic			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
various			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
generalized			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
morphine			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
invasive			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
abnormal			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
