Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
They			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
whose			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
something			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
done			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
benefit			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
better			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
confirmed			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
clearly			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
Society			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
alterations			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
arteritis			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
HR			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
ask			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
So			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
describing			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
exposed			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
According			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
RRA			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
depends			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
almost			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
diagnosed			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
hypercortisolism			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
rest			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
see			84	4	0	1	0	397.575	0.000	1.000	0.000	7.242	0.001
performed			108	10	3	1	1	993.937	202.538	1.000	1.000	7.171	0.002
about			108	10	3	1	1	993.937	202.538	1.000	1.000	7.171	0.002
addition			108	10	3	1	1	993.937	202.538	1.000	1.000	7.171	0.002
been			108	10	3	1	1	993.937	202.538	1.000	1.000	7.171	0.002
all			112	12	5	1	1	1192.724	337.564	1.000	1.000	6.314	0.002
should			113	31	23	1	1	3081.205	1552.795	1.000	1.000	6.305	0.006
sensitive			114	6	1	1	1	596.362	67.513	1.000	1.000	6.158	0.001
asymptomatic			114	6	1	1	1	596.362	67.513	1.000	1.000	6.158	0.001
pathology			114	6	1	1	1	596.362	67.513	1.000	1.000	6.158	0.001
decrease			114	6	1	1	1	596.362	67.513	1.000	1.000	6.158	0.001
according			114	6	1	1	1	596.362	67.513	1.000	1.000	6.158	0.001
months			119	13	6	1	1	1292.118	405.077	1.000	1.000	6.059	0.003
an			120	62	59	1	1	6162.409	3983.257	1.000	1.000	5.761	0.012
Therefore			121	17	10	1	1	1689.693	675.128	1.000	1.000	5.553	0.003
sure			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
had			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
protocol			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
raise			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
require			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
soon			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
correctly			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
made			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
look			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
delay			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
thing			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
times			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
taken			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
said			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
greater			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
gonarthrosis			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
giving			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
going			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
fibers			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
except			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
special			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
giant			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
whom			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
way			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
water			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
wait			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
discard			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
describe			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
choose			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
speaks			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
After			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
All			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
Answers			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
At			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
Knowing			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
anything			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
beginning			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
array			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
adolescent			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
added			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
Turner			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
Spanish			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
Correct			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
He			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
But			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
called			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
mechanical			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
mmol			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
monitored			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
many			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
open			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
mainly			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
prognosis			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
plexus			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
just			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
lasting			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
leave			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
how			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
hemicrania			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
hemorrhagic			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
him			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
nodule			122	3	0	1	0	298.181	0.000	1.000	0.000	5.431	0.001
If			184	11	5	1	1	1093.331	337.564	1.000	1.000	5.225	0.002
origin			185	7	2	1	1	695.756	135.026	1.000	1.000	5.212	0.001
choice			186	13	7	1	1	1292.118	472.590	1.000	1.000	4.896	0.003
at			187	27	21	1	1	2683.630	1417.769	1.000	1.000	4.866	0.005
true			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
fact			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
fibrinolysis			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
last			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
already			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
statement			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
orbit			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
same			188	5	1	1	1	496.968	67.513	1.000	1.000	4.682	0.001
treatment			196	44	41	1	1	4373.323	2768.026	1.000	1.000	4.441	0.009
suspicion			197	9	4	1	1	894.543	270.051	1.000	1.000	4.393	0.002
