Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
Gynecology			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
Hematology			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
High			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
seconds			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
rib			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
rheumatica			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
unstable			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
unless			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
subgroup			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
strictly			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
selected			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
them			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
telarche			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
superior			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
wants			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
warning			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
weekly			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
whether			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
º			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
after			381	7	3	1	1	695.756	202.538	1.000	1.000	3.566	0.001
than			382	20	16	1	1	1987.874	1080.205	1.000	1.000	3.335	0.004
Of			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
aplasia			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
emergency			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
affect			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
girl			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
good			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
mole			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
vascular			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
serum			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
fundus			383	4	1	1	1	397.575	67.513	1.000	1.000	3.274	0.001
necessary			393	11	7	1	1	1093.331	472.590	1.000	1.000	3.115	0.002
then			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
An			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
Cushing			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
accompanied			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
always			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
producing			394	5	2	1	1	496.968	135.026	1.000	1.000	2.750	0.001
ACTH			400	6	3	1	1	596.362	202.538	1.000	1.000	2.515	0.001
but			401	46	49	1	1	4572.110	3308.129	1.000	1.000	2.475	0.009
clinical			402	22	20	1	1	2186.661	1350.257	1.000	1.000	2.434	0.004
macular			403	7	4	1	1	695.756	270.051	1.000	1.000	2.399	0.001
incorrect			403	7	4	1	1	695.756	270.051	1.000	1.000	2.399	0.001
make			403	7	4	1	1	695.756	270.051	1.000	1.000	2.399	0.001
any			406	9	6	1	1	894.543	405.077	1.000	1.000	2.323	0.002
clinic			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
enough			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
several			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
rules			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
route			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
request			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
valid			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
urinalysis			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
unlikely			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
undetectable			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
treated			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
take			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
symptomatic			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
subsequent			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
gland			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
contralateral			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
diagnose			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
eliminate			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
arteritic			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
four			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
lymphocytes			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
males			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
obvious			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
produces			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
produced			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
insipidus			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
initiate			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
image			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
potassium			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
chains			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
atelectasis			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
abscesses			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
absences			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
among			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
analgesic			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
antibiotherapy			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
become			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
child			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
claudication			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
ADH			407	3	1	1	1	298.181	67.513	1.000	1.000	1.969	0.001
with			447	173	222	1	1	17195.110	14987.848	1.000	1.000	1.853	0.033
involvement			448	13	11	1	1	1292.118	742.641	1.000	1.000	1.834	0.003
without			448	13	11	1	1	1292.118	742.641	1.000	1.000	1.834	0.003
amaurosis			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
allowed			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
allogeneic			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
arregenerative			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
arises			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
architectural			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
apart			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
antibiograms			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
antiRNA			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
anteriorly			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
antecedents			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
animals			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
indications			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
index			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
incompetence			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
inclined			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
incline			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
incidental			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
implies			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
immuodepressed			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
immunosuppressed			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
immunoglobulins			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
immunodeficiencies			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
immunocomplexes			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
atria			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
altered			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
affectation			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
adults			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
admissions			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
administering			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
adenopathy			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
acuity			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
interrupted			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
interested			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
interdigital			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
interactions			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
installation			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
insistence			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
inhibits			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
attempt			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
infratemporal			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
infiltrate			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
infarctions			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
infancy			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
angle			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
anatomy			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
analgesia			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
amyloidosis			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
amputation			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
amoxicillin			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
amount			450	1	0	1	0	99.394	0.000	1.000	0.000	1.810	0.000
